player,Zona,Equipo,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Fuera,%Bloqueado,%Parado,%Gol,%Palo
Arturo Vidal,19,Barcelona,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Asier Villalibre,8,Athletic Club,2,0,0,0,0,2,100.0,0.0,0.0,0.0,0.0
Asier Villalibre,9,Athletic Club,2,0,0,0,0,2,100.0,0.0,0.0,0.0,0.0
Asier Villalibre,14,Athletic Club,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Asier Villalibre,17,Athletic Club,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Asier Villalibre,18,Athletic Club,1,1,0,2,1,5,20.0,20.0,0.0,40.0,20.0
Asier Villalibre,19,Athletic Club,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Balenziaga,9,Athletic Club,2,0,0,0,0,2,100.0,0.0,0.0,0.0,0.0
Bernardo,13,Espanyol,0,2,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Beñat,7,Athletic Club,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Beñat,9,Athletic Club,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Beñat,13,Athletic Club,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Borja Iglesias,7,Real Betis,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Borja Iglesias,8,Real Betis,0,1,0,0,1,2,0.0,50.0,0.0,0.0,50.0
Borja Iglesias,9,Real Betis,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Borja Iglesias,12,Real Betis,4,1,0,0,0,5,80.0,20.0,0.0,0.0,0.0
Borja Iglesias,13,Real Betis,2,0,3,1,0,6,33.33,0.0,50.0,16.67,0.0
Borja Iglesias,14,Real Betis,2,0,2,0,0,4,50.0,0.0,50.0,0.0,0.0
Borja Iglesias,17,Real Betis,1,1,2,0,0,4,25.0,25.0,50.0,0.0,0.0
Borja Iglesias,18,Real Betis,3,1,0,1,0,5,60.0,20.0,0.0,20.0,0.0
Borja Iglesias,19,Real Betis,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Borja Mayoral,8,Levante,1,2,2,1,0,6,16.67,33.33,33.33,16.67,0.0
Borja Mayoral,9,Levante,0,2,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Borja Mayoral,12,Levante,2,1,1,0,0,4,50.0,25.0,25.0,0.0,0.0
Borja Mayoral,13,Levante,2,4,1,1,0,8,25.0,50.0,12.5,12.5,0.0
Borja Mayoral,14,Levante,1,1,2,1,0,5,20.0,20.0,40.0,20.0,0.0
Borja Mayoral,17,Levante,1,1,0,0,0,2,50.0,50.0,0.0,0.0,0.0
Borja Mayoral,18,Levante,2,1,4,5,0,12,16.67,8.33,33.33,41.67,0.0
Borja Mayoral,19,Levante,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Borja Sainz,9,Alaves,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Borja Sainz,12,Alaves,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Borja Sainz,13,Alaves,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Borja Sainz,14,Alaves,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Borja Sainz,17,Alaves,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Borja Sainz,18,Alaves,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Brahim Diaz,8,Real Madrid,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Brahim Diaz,13,Real Madrid,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Brais Méndez,7,Celta Vigo,1,3,0,0,0,4,25.0,75.0,0.0,0.0,0.0
Brais Méndez,8,Celta Vigo,1,1,1,0,0,3,33.33,33.33,33.33,0.0,0.0
Brais Méndez,12,Celta Vigo,0,3,2,0,0,5,0.0,60.0,40.0,0.0,0.0
Brais Méndez,13,Celta Vigo,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Brais Méndez,18,Celta Vigo,0,1,1,0,0,2,0.0,50.0,50.0,0.0,0.0
Brais Méndez,19,Celta Vigo,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Brandon,9,Osasuna,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Brandon,13,Osasuna,2,0,1,0,0,3,66.67,0.0,33.33,0.0,0.0
